Frame,Intensity
0,26.448622
1,26.755114
2,27.039856
3,27.071775
4,27.233297
5,27.429115
6,27.459295
7,27.404003
8,27.578785
9,27.75851
10,27.716211
11,27.6645
12,27.774836
13,27.991577
14,27.986523
15,27.84426
16,27.73006
17,27.65574
18,27.556982
19,27.543255
20,27.578144
21,27.537176
22,27.388783
23,27.143473
24,26.799065
25,26.578714
26,26.385462
27,26.613966
28,26.601023
29,27.220074
30,27.226248
31,27.671295
32,27.498165
33,27.574865
34,27.569082
35,28.124483
36,28.369677
37,28.64143
38,28.809381
39,28.939116
