Frame,Upwind,Urban,Downwind
0,53.50911,42.788887,48.3169
1,52.6737,41.045685,47.64533
2,53.349285,37.669155,47.163177
3,53.70338,31.493023,47.821144
4,54.402943,35.655914,48.38335
5,54.78633,37.16583,48.148083
6,55.167953,39.13867,49.379135
7,54.857212,42.6478,50.659206
8,53.888783,46.33471,50.579636
9,54.337864,47.206024,50.803444
10,54.99415,48.87581,50.70738
11,53.845715,48.609344,51.408295
12,53.045963,47.410683,51.392048
13,53.042427,47.448765,50.071735
14,54.28269,49.400608,49.28639
15,54.767426,51.06645,48.402218
16,54.20711,52.47687,48.34025
17,55.266693,52.42463,48.326443
18,54.84952,50.627323,47.717182
19,54.398647,49.8125,47.519035
20,54.38302,50.039078,46.948402
21,54.458046,52.071587,46.571785
22,55.385105,51.680294,45.874752
23,55.72941,53.103897,44.93635
24,55.23086,54.454212,43.876118
25,54.89831,54.577797,43.159603
26,54.52981,55.249107,42.411964
27,53.41046,54.706806,41.89171
28,53.82271,53.550087,41.25908
29,53.31117,53.20253,40.29827
30,53.598793,52.478706,38.94098
31,54.520462,52.08818,37.68438
32,52.86435,52.698277,36.515587
33,53.377193,51.705685,35.671043
34,53.915806,49.976536,36.1567
35,54.84002,45.613377,36.140392
36,54.70269,37.438583,36.67538
37,54.300106,34.851753,37.147854
38,54.968098,34.459076,38.23738
39,54.847595,33.05696,39.03291
